"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
HHS Regions,Region 1,2015,40,39,0,5,0,0,0,0,0,0
HHS Regions,Region 2,2015,40,56,1,4,0,1,0,0,0,0
HHS Regions,Region 3,2015,40,132,1,3,0,0,0,0,0,0
HHS Regions,Region 4,2015,40,83,0,5,0,1,0,0,0,0
HHS Regions,Region 5,2015,40,218,2,7,0,0,0,1,0,0
HHS Regions,Region 6,2015,40,97,0,2,0,0,0,0,0,0
HHS Regions,Region 7,2015,40,36,0,2,0,0,0,0,0,0
HHS Regions,Region 8,2015,40,71,0,2,0,0,0,0,0,0
HHS Regions,Region 9,2015,40,273,0,22,2,8,0,0,0,0
HHS Regions,Region 10,2015,40,134,0,13,0,0,0,0,0,0
HHS Regions,Region 1,2015,41,39,2,3,0,0,0,0,0,0
HHS Regions,Region 2,2015,41,73,0,5,0,1,0,0,0,0
HHS Regions,Region 3,2015,41,163,1,0,0,0,0,0,0,0
HHS Regions,Region 4,2015,41,104,0,1,0,2,0,0,0,0
HHS Regions,Region 5,2015,41,249,2,4,0,0,0,0,0,0
HHS Regions,Region 6,2015,41,106,0,6,0,1,1,0,0,0
HHS Regions,Region 7,2015,41,34,0,2,0,0,0,0,0,0
HHS Regions,Region 8,2015,41,58,0,3,1,0,1,0,0,0
HHS Regions,Region 9,2015,41,220,0,7,1,3,1,0,0,0
HHS Regions,Region 10,2015,41,106,0,10,0,0,0,0,0,0
HHS Regions,Region 1,2015,42,27,0,3,0,0,0,0,0,0
HHS Regions,Region 2,2015,42,75,4,0,0,0,0,0,0,0
HHS Regions,Region 3,2015,42,168,1,4,0,0,0,0,0,0
HHS Regions,Region 4,2015,42,135,1,4,0,2,0,0,0,0
HHS Regions,Region 5,2015,42,248,3,3,0,0,0,0,0,0
HHS Regions,Region 6,2015,42,124,0,1,0,0,0,0,0,0
HHS Regions,Region 7,2015,42,44,0,9,0,0,0,0,0,0
HHS Regions,Region 8,2015,42,44,0,1,0,0,0,0,0,0
HHS Regions,Region 9,2015,42,215,1,16,1,6,1,0,0,0
HHS Regions,Region 10,2015,42,118,0,9,0,0,2,2,0,0
HHS Regions,Region 1,2015,43,35,0,1,0,0,0,0,0,0
HHS Regions,Region 2,2015,43,92,1,2,0,1,0,0,0,0
HHS Regions,Region 3,2015,43,171,2,2,0,0,0,3,0,0
HHS Regions,Region 4,2015,43,131,0,5,1,1,0,0,0,0
HHS Regions,Region 5,2015,43,293,5,2,3,0,0,0,0,0
HHS Regions,Region 6,2015,43,123,0,1,0,3,0,0,0,0
HHS Regions,Region 7,2015,43,53,0,5,0,0,1,1,0,0
HHS Regions,Region 8,2015,43,59,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2015,43,191,1,11,0,4,0,0,0,0
HHS Regions,Region 10,2015,43,96,0,2,0,0,0,0,0,0
HHS Regions,Region 1,2015,44,47,0,0,0,0,0,0,0,0
HHS Regions,Region 2,2015,44,98,1,3,0,0,0,0,0,0
HHS Regions,Region 3,2015,44,187,0,2,0,0,0,1,0,0
HHS Regions,Region 4,2015,44,170,0,3,0,0,0,0,0,0
HHS Regions,Region 5,2015,44,393,0,1,3,1,0,1,0,0
HHS Regions,Region 6,2015,44,141,0,1,0,2,0,1,0,0
HHS Regions,Region 7,2015,44,43,1,3,0,0,0,0,0,0
HHS Regions,Region 8,2015,44,53,0,1,0,0,1,0,0,0
HHS Regions,Region 9,2015,44,248,1,6,1,5,0,1,0,0
HHS Regions,Region 10,2015,44,85,1,3,0,1,0,0,0,0
HHS Regions,Region 1,2015,45,41,1,2,0,0,1,0,0,0
HHS Regions,Region 2,2015,45,72,0,3,0,1,0,0,0,0
HHS Regions,Region 3,2015,45,153,0,2,0,1,0,0,0,0
HHS Regions,Region 4,2015,45,166,2,3,1,5,0,0,0,0
HHS Regions,Region 5,2015,45,368,3,1,0,0,1,1,0,0
HHS Regions,Region 6,2015,45,120,1,3,0,1,0,1,0,0
HHS Regions,Region 7,2015,45,33,0,0,0,1,0,0,0,0
HHS Regions,Region 8,2015,45,63,2,1,0,0,0,0,0,0
HHS Regions,Region 9,2015,45,283,2,15,0,1,2,0,0,0
HHS Regions,Region 10,2015,45,94,0,4,0,0,0,0,0,0
HHS Regions,Region 1,2015,46,34,1,0,0,0,0,0,0,0
HHS Regions,Region 2,2015,46,121,4,16,0,0,0,0,0,0
HHS Regions,Region 3,2015,46,209,0,1,0,0,0,0,0,0
HHS Regions,Region 4,2015,46,178,0,4,0,2,0,0,0,0
HHS Regions,Region 5,2015,46,374,7,2,1,0,0,0,0,0
HHS Regions,Region 6,2015,46,113,0,0,0,0,0,0,0,0
HHS Regions,Region 7,2015,46,30,0,0,0,0,0,0,0,0
HHS Regions,Region 8,2015,46,57,1,4,0,0,0,1,0,0
HHS Regions,Region 9,2015,46,258,4,11,0,1,0,3,0,0
HHS Regions,Region 10,2015,46,84,0,4,0,1,0,0,0,0
HHS Regions,Region 1,2015,47,28,1,0,0,0,0,0,0,0
HHS Regions,Region 2,2015,47,89,2,6,0,0,0,0,0,0
HHS Regions,Region 3,2015,47,184,4,1,0,0,0,3,0,0
HHS Regions,Region 4,2015,47,116,0,0,0,3,0,0,0,0
HHS Regions,Region 5,2015,47,281,3,1,0,0,0,0,0,0
HHS Regions,Region 6,2015,47,55,0,1,0,0,0,0,0,0
HHS Regions,Region 7,2015,47,28,0,0,0,0,0,0,0,0
HHS Regions,Region 8,2015,47,59,2,1,0,0,1,0,0,0
HHS Regions,Region 9,2015,47,237,4,10,0,1,2,3,0,0
HHS Regions,Region 10,2015,47,80,1,4,0,0,0,3,0,0
HHS Regions,Region 1,2015,48,47,3,1,0,1,0,0,0,0
HHS Regions,Region 2,2015,48,86,4,11,1,0,0,0,0,0
HHS Regions,Region 3,2015,48,229,2,2,0,0,1,4,0,0
HHS Regions,Region 4,2015,48,149,1,0,0,3,0,1,0,0
HHS Regions,Region 5,2015,48,374,4,4,0,0,0,0,0,0
HHS Regions,Region 6,2015,48,127,1,1,0,1,0,0,0,0
HHS Regions,Region 7,2015,48,35,0,1,0,0,0,0,0,0
HHS Regions,Region 8,2015,48,63,4,2,0,1,0,0,0,0
HHS Regions,Region 9,2015,48,346,7,8,2,2,2,6,0,0
HHS Regions,Region 10,2015,48,94,1,6,0,1,0,1,0,0
HHS Regions,Region 1,2015,49,26,1,0,0,0,0,0,0,0
HHS Regions,Region 2,2015,49,74,0,6,0,0,0,0,0,0
HHS Regions,Region 3,2015,49,215,2,0,0,0,0,1,0,0
HHS Regions,Region 4,2015,49,176,0,1,2,9,1,0,0,0
HHS Regions,Region 5,2015,49,369,9,1,0,1,0,4,0,0
HHS Regions,Region 6,2015,49,109,1,4,0,0,0,1,0,0
HHS Regions,Region 7,2015,49,32,0,0,0,0,0,0,0,0
HHS Regions,Region 8,2015,49,67,5,5,0,0,0,1,0,0
HHS Regions,Region 9,2015,49,342,17,15,1,0,0,3,0,0
HHS Regions,Region 10,2015,49,108,3,5,0,1,1,1,0,0
HHS Regions,Region 1,2015,50,36,2,1,0,0,0,0,0,0
HHS Regions,Region 2,2015,50,83,4,15,0,1,0,0,0,0
HHS Regions,Region 3,2015,50,237,1,0,0,0,1,2,0,0
HHS Regions,Region 4,2015,50,154,7,0,0,4,0,0,0,0
HHS Regions,Region 5,2015,50,351,18,6,0,0,0,2,0,0
HHS Regions,Region 6,2015,50,105,0,3,0,0,1,0,0,0
HHS Regions,Region 7,2015,50,50,1,0,0,0,0,0,0,0
HHS Regions,Region 8,2015,50,70,14,3,0,0,0,4,0,0
HHS Regions,Region 9,2015,50,292,15,10,0,3,2,11,0,0
HHS Regions,Region 10,2015,50,97,7,1,0,2,0,0,0,0
HHS Regions,Region 1,2015,51,43,2,3,0,0,0,0,0,0
HHS Regions,Region 2,2015,51,77,7,10,1,0,2,0,0,0
HHS Regions,Region 3,2015,51,192,15,3,0,0,0,1,0,0
HHS Regions,Region 4,2015,51,96,2,1,0,5,0,0,0,0
HHS Regions,Region 5,2015,51,325,12,1,0,0,0,1,0,0
HHS Regions,Region 6,2015,51,59,1,2,0,1,0,1,0,0
HHS Regions,Region 7,2015,51,18,2,0,0,0,0,0,0,0
HHS Regions,Region 8,2015,51,88,15,4,0,0,0,12,0,0
HHS Regions,Region 9,2015,51,258,25,9,0,3,1,10,0,0
HHS Regions,Region 10,2015,51,89,8,0,0,3,0,3,0,0
HHS Regions,Region 1,2015,52,32,1,1,0,0,0,0,0,0
HHS Regions,Region 2,2015,52,84,16,4,0,0,0,1,0,0
HHS Regions,Region 3,2015,52,226,5,4,0,0,1,2,0,0
HHS Regions,Region 4,2015,52,129,2,1,0,2,0,0,0,0
HHS Regions,Region 5,2015,52,353,16,1,0,0,0,3,0,0
HHS Regions,Region 6,2015,52,54,3,0,0,1,0,1,0,0
HHS Regions,Region 7,2015,52,31,3,1,0,0,1,0,0,0
HHS Regions,Region 8,2015,52,93,33,2,0,0,1,7,0,0
HHS Regions,Region 9,2015,52,374,62,37,1,9,1,14,0,0
HHS Regions,Region 10,2015,52,109,5,5,0,1,5,7,0,0
HHS Regions,Region 1,2016,1,60,3,3,0,1,0,1,0,0
HHS Regions,Region 2,2016,1,83,18,2,0,1,1,1,0,0
HHS Regions,Region 3,2016,1,269,3,1,0,1,0,1,0,0
HHS Regions,Region 4,2016,1,186,16,2,0,1,1,0,0,0
HHS Regions,Region 5,2016,1,329,23,0,0,0,0,2,0,0
HHS Regions,Region 6,2016,1,106,2,3,0,1,0,1,0,0
HHS Regions,Region 7,2016,1,43,2,0,0,0,0,0,0,0
HHS Regions,Region 8,2016,1,109,32,3,0,0,1,17,0,0
HHS Regions,Region 9,2016,1,544,121,52,0,5,7,23,0,0
HHS Regions,Region 10,2016,1,112,12,2,2,4,2,6,0,0
HHS Regions,Region 1,2016,2,45,7,2,0,3,0,1,0,0
HHS Regions,Region 2,2016,2,98,26,4,0,2,5,0,0,0
HHS Regions,Region 3,2016,2,212,9,3,0,0,0,2,0,0
HHS Regions,Region 4,2016,2,195,18,12,1,13,0,0,0,0
HHS Regions,Region 5,2016,2,296,24,3,1,0,0,3,0,0
HHS Regions,Region 6,2016,2,97,8,3,0,4,0,1,0,0
HHS Regions,Region 7,2016,2,41,8,2,0,0,0,0,0,0
HHS Regions,Region 8,2016,2,81,27,3,0,1,2,14,0,0
